scenario,policy,trial_count,sweep_name,sweep_value,origin_delay,es_availability,local_es_availability,neighbor_es_availability,zipf_alpha,local_es_count,neighbor_group_size,k,mean_response_time_mean,mean_response_time_std,mean_response_time_stderr,mean_response_time_ci95_low,mean_response_time_ci95_high,p95_response_time_mean,p95_response_time_std,p95_response_time_stderr,p95_response_time_ci95_low,p95_response_time_ci95_high,origin_free_rate_mean,origin_free_rate_std,origin_free_rate_stderr,origin_free_rate_ci95_low,origin_free_rate_ci95_high,neighbor_failure_rate_mean,neighbor_failure_rate_std,neighbor_failure_rate_stderr,neighbor_failure_rate_ci95_low,neighbor_failure_rate_ci95_high,b2_advantage_vs_b1_mean
memo_neighbor_availability_x_origin_delay,B2,10,memo_neighbor_availability_x_origin_delay,,180.0,0.82,0.82,0.3,1.1,3,5,3,101.4746,0.785764,0.24848,100.987578,101.961622,201.4047,0.129824,0.041054,201.324234,201.485166,0.54897,0.004475,0.001415,0.546196,0.551744,0.0,0.0,0.0,0.0,0.0,0.3072
memo_neighbor_availability_x_origin_delay,B0,10,memo_neighbor_availability_x_origin_delay,,180.0,0.82,0.82,0.35,1.1,3,5,3,100.8769,0.736258,0.232825,100.420562,101.333238,201.3458,0.159162,0.050332,201.24715,201.44445,0.55247,0.004171,0.001319,0.549885,0.555055,0.0,0.0,0.0,0.0,0.0,
memo_neighbor_availability_x_origin_delay,B1,10,memo_neighbor_availability_x_origin_delay,,180.0,0.82,0.82,0.35,1.1,3,5,3,96.6374,0.657162,0.207813,96.230086,97.044714,228.4803,0.153612,0.048576,228.38509,228.57551,0.65728,0.003589,0.001135,0.655055,0.659505,0.76517,0.00686,0.002169,0.760918,0.769422,
memo_neighbor_availability_x_origin_delay,B2,10,memo_neighbor_availability_x_origin_delay,,180.0,0.82,0.82,0.35,1.1,3,5,3,96.534,0.782412,0.247421,96.049056,97.018944,228.5108,0.153601,0.048573,228.415597,228.606003,0.65785,0.004279,0.001353,0.655198,0.660502,0.76462,0.007329,0.002318,0.760077,0.769163,0.1034
memo_neighbor_availability_x_origin_delay,B0,10,memo_neighbor_availability_x_origin_delay,,180.0,0.82,0.82,0.45,1.1,3,5,3,101.4222,0.782635,0.247491,100.937118,101.907282,201.3641,0.143426,0.045355,201.275204,201.452996,0.54922,0.004347,0.001375,0.546526,0.551914,0.0,0.0,0.0,0.0,0.0,
memo_neighbor_availability_x_origin_delay,B1,10,memo_neighbor_availability_x_origin_delay,,180.0,0.82,0.82,0.45,1.1,3,5,3,84.2421,0.847235,0.267919,83.716978,84.767222,227.6861,0.11395,0.036034,227.615473,227.756727,0.73484,0.004596,0.001453,0.731992,0.737688,0.59161,0.009681,0.003061,0.585609,0.597611,
memo_neighbor_availability_x_origin_delay,B2,10,memo_neighbor_availability_x_origin_delay,,180.0,0.82,0.82,0.45,1.1,3,5,3,84.3892,0.908103,0.287167,83.826352,84.952048,227.6768,0.118741,0.037549,227.603203,227.750397,0.73412,0.005009,0.001584,0.731015,0.737225,0.59222,0.010248,0.003241,0.585868,0.598572,-0.1471
memo_neighbor_availability_x_origin_delay,B0,10,memo_neighbor_availability_x_origin_delay,,180.0,0.82,0.82,0.55,1.1,3,5,3,100.9417,0.655926,0.207422,100.535153,101.348247,201.3585,0.098598,0.031179,201.297388,201.419612,0.55206,0.003592,0.001136,0.549834,0.554286,0.0,0.0,0.0,0.0,0.0,
memo_neighbor_availability_x_origin_delay,B1,10,memo_neighbor_availability_x_origin_delay,,180.0,0.82,0.82,0.55,1.1,3,5,3,71.2114,0.816514,0.258204,70.705319,71.717481,226.4405,0.127853,0.040431,226.361256,226.519744,0.81635,0.004018,0.00127,0.81386,0.81884,0.40973,0.007794,0.002465,0.404899,0.414561,
memo_neighbor_availability_x_origin_delay,B2,10,memo_neighbor_availability_x_origin_delay,,180.0,0.82,0.82,0.55,1.1,3,5,3,71.3342,0.906354,0.286614,70.772436,71.895964,226.4673,0.128109,0.040512,226.387897,226.546703,0.81556,0.004414,0.001396,0.812824,0.818296,0.41169,0.007536,0.002383,0.407019,0.416361,-0.1228
memo_neighbor_availability_x_origin_delay,B0,10,memo_neighbor_availability_x_origin_delay,,180.0,0.82,0.82,0.65,1.1,3,5,3,101.3593,0.792986,0.250764,100.867802,101.850798,201.3594,0.120657,0.038155,201.284616,201.434184,0.54955,0.004613,0.001459,0.546691,0.552409,0.0,0.0,0.0,0.0,0.0,
memo_neighbor_availability_x_origin_delay,B1,10,memo_neighbor_availability_x_origin_delay,,180.0,0.82,0.82,0.65,1.1,3,5,3,58.7907,0.724574,0.22913,58.341604,59.239796,224.3543,0.1863,0.058913,224.23883,224.46977,0.89391,0.003587,0.001134,0.891686,0.896134,0.23677,0.006418,0.002029,0.232792,0.240748,
memo_neighbor_availability_x_origin_delay,B2,10,memo_neighbor_availability_x_origin_delay,,180.0,0.82,0.82,0.65,1.1,3,5,3,58.7368,0.742152,0.234689,58.276809,59.196791,224.3809,0.212032,0.06705,224.249481,224.512319,0.89411,0.003581,0.001132,0.891891,0.896329,0.23666,0.006348,0.002007,0.232725,0.240595,0.0539
memo_neighbor_availability_x_origin_delay,B0,10,memo_neighbor_availability_x_origin_delay,,180.0,0.82,0.82,0.82,1.1,3,5,3,100.8121,0.930941,0.294389,100.235097,101.389103,201.4164,0.161016,0.050918,201.316601,201.516199,0.55286,0.005258,0.001663,0.549601,0.556119,0.0,0.0,0.0,0.0,0.0,
memo_neighbor_availability_x_origin_delay,B1,10,memo_neighbor_availability_x_origin_delay,,180.0,0.82,0.82,0.82,1.1,3,5,3,44.9556,0.279968,0.088534,44.782074,45.129126,70.8133,0.164022,0.051868,70.711638,70.914962,0.98057,0.001229,0.000389,0.979808,0.981332,0.04328,0.002763,0.000874,0.041568,0.044992,
memo_neighbor_availability_x_origin_delay,B2,10,memo_neighbor_availability_x_origin_delay,,180.0,0.82,0.82,0.82,1.1,3,5,3,44.975,0.283997,0.089808,44.798977,45.151023,70.8,0.138647,0.043844,70.714065,70.885935,0.98058,0.001216,0.000385,0.979826,0.981334,0.04319,0.002629,0.000831,0.041561,0.044819,-0.0194
