scenario,policy,trial_count,sweep_name,sweep_value,origin_delay,es_availability,zipf_alpha,local_es_count,neighbor_group_size,k,mean_response_time_mean,mean_response_time_std,mean_response_time_stderr,mean_response_time_ci95_low,mean_response_time_ci95_high,p95_response_time_mean,p95_response_time_std,p95_response_time_stderr,p95_response_time_ci95_low,p95_response_time_ci95_high,origin_free_rate_mean,origin_free_rate_std,origin_free_rate_stderr,origin_free_rate_ci95_low,origin_free_rate_ci95_high,neighbor_failure_rate_mean,neighbor_failure_rate_std,neighbor_failure_rate_stderr,neighbor_failure_rate_ci95_low,neighbor_failure_rate_ci95_high,b2_advantage_vs_b1_mean
origin_delay_x_es_availability,B2,10,origin_delay_x_es_availability,,180.0,0.55,1.1,3,5,3,112.3635,0.744016,0.235279,111.902354,112.824646,228.4908,0.14654,0.04634,228.399974,228.581626,0.66045,0.003946,0.001248,0.658004,0.662896,0.40715,0.004203,0.001329,0.404545,0.409755,-0.0548
origin_delay_x_es_availability,B0,10,origin_delay_x_es_availability,,180.0,0.65,1.1,3,5,3,149.218,0.498197,0.157544,148.909214,149.526786,202.8571,0.155163,0.049067,202.760929,202.953271,0.2745,0.00279,0.000882,0.27277,0.27623,0.0,0.0,0.0,0.0,0.0,
origin_delay_x_es_availability,B1,10,origin_delay_x_es_availability,,180.0,0.65,1.1,3,5,3,80.7765,1.025376,0.324252,80.140966,81.412034,226.2102,0.206082,0.065169,226.082469,226.337931,0.82871,0.005364,0.001696,0.825385,0.832035,0.23683,0.006333,0.002003,0.232905,0.240755,
origin_delay_x_es_availability,B2,10,origin_delay_x_es_availability,,180.0,0.65,1.1,3,5,3,80.6818,1.065005,0.336784,80.021703,81.341897,226.2282,0.214341,0.06778,226.09535,226.36105,0.82917,0.005566,0.00176,0.82572,0.83262,0.23639,0.006516,0.002061,0.232351,0.240429,0.0947
origin_delay_x_es_availability,B0,10,origin_delay_x_es_availability,,180.0,0.75,1.1,3,5,3,122.9315,0.840269,0.265717,122.410696,123.452304,202.1117,0.11906,0.03765,202.037906,202.185494,0.42568,0.004887,0.001545,0.422651,0.428709,0.0,0.0,0.0,0.0,0.0,
origin_delay_x_es_availability,B1,10,origin_delay_x_es_availability,,180.0,0.75,1.1,3,5,3,56.6524,0.362489,0.114629,56.427727,56.877073,221.7124,0.188667,0.059662,221.595463,221.829337,0.94135,0.002003,0.000634,0.940108,0.942592,0.10147,0.003491,0.001104,0.099306,0.103634,
origin_delay_x_es_availability,B2,10,origin_delay_x_es_availability,,180.0,0.75,1.1,3,5,3,56.7551,0.596009,0.188475,56.38569,57.12451,221.7547,0.237808,0.075201,221.607305,221.902095,0.9408,0.003029,0.000958,0.938922,0.942678,0.10234,0.004866,0.001539,0.099324,0.105356,-0.1027
origin_delay_x_es_availability,B0,10,origin_delay_x_es_availability,,180.0,0.82,1.1,3,5,3,100.8121,0.930941,0.294389,100.235097,101.389103,201.4164,0.161016,0.050918,201.316601,201.516199,0.55286,0.005258,0.001663,0.549601,0.556119,0.0,0.0,0.0,0.0,0.0,
origin_delay_x_es_availability,B1,10,origin_delay_x_es_availability,,180.0,0.82,1.1,3,5,3,44.9556,0.279968,0.088534,44.782074,45.129126,70.8133,0.164022,0.051868,70.711638,70.914962,0.98057,0.001229,0.000389,0.979808,0.981332,0.04328,0.002763,0.000874,0.041568,0.044992,
origin_delay_x_es_availability,B2,10,origin_delay_x_es_availability,,180.0,0.82,1.1,3,5,3,44.975,0.283997,0.089808,44.798977,45.151023,70.8,0.138647,0.043844,70.714065,70.885935,0.98058,0.001216,0.000385,0.979826,0.981334,0.04319,0.002629,0.000831,0.041561,0.044819,-0.0194
